No.,Pos.,Player,Age,Caps,Goals,Club,Team
3,DF,Marin Pongračić,26,6,0,Lecce,Croatia
4,DF,Joško Gvardiol,22,29,2,Manchester City,Croatia
5,DF,Martin Erlić,26,8,0,Sassuolo,Croatia
6,DF,Duje Ćaleta-Car,27,24,1,Lyon,Croatia
19,DF,Borna Sosa,26,19,1,Ajax,Croatia
21,DF,Domagoj Vida (vice-captain),34,104,4,AEK Athens,Croatia
22,DF,Josip Juranović,28,36,0,Union Berlin,Croatia
7,MF,Lovro Majer,26,29,6,VfL Wolfsburg,Croatia
8,MF,Mateo Kovačić,29,99,5,Manchester City,Croatia
10,MF,Luka Modrić (captain),38,174,24,Real Madrid,Croatia
11,MF,Marcelo Brozović,31,94,7,Al Nassr,Croatia
13,MF,Nikola Vlašić,26,55,8,Torino,Croatia
15,MF,Mario Pašalić,29,62,10,Atalanta,Croatia
18,MF,Luka Ivanušec,25,19,2,Feyenoord,Croatia
9,FW,Andrej Kramarić,32,91,29,1899 Hoffenheim,Croatia
17,FW,Bruno Petković,29,36,11,Dinamo Zagreb,Croatia
20,FW,Marko Pjaca,28,25,1,Rijeka,Croatia
24,FW,Marco Pašalić,23,4,0,Rijeka,Croatia
1,GK,Giorgi Loria,38,78,0,Dinamo Tbilisi,Georgia
12,GK,Giorgi Mamardashvili,23,16,0,Valencia,Georgia
23,GK,Luka Gugeshashvili,24,1,0,Qarabağ,Georgia
2,DF,Otar Kakabadze,28,60,0,Cracovia,Georgia
3,DF,Lasha Dvali,28,31,1,APOEL,Georgia
4,DF,Guram Kashia (captain),36,112,3,Slovan Bratislava,Georgia
5,DF,Solomon Kvirkvelia,32,58,0,Al-Okhdood,Georgia
13,DF,Giorgi Gocholeishvili,23,8,0,Shakhtar Donetsk,Georgia
14,DF,Luka Lochoshvili,25,10,1,Cremonese,Georgia
15,DF,Giorgi Gvelesiani,32,0,0,Persepolis,Georgia
-1,DF,Vladimer Mamuchashvili,26,10,0,Dinamo Batumi,Georgia
-1,DF,Saba Sazonov,22,3,0,Torino,Georgia
6,MF,Giorgi Kochorashvili,24,7,0,Levante,Georgia
9,MF,Zuriko Davitashvili,23,34,6,Bordeaux,Georgia
10,MF,Giorgi Chakvetadze,24,24,8,Watford,Georgia
16,MF,Nika Kvekveskiri,31,59,0,Lech Poznań,Georgia
17,MF,Otar Kiteishvili,28,36,2,Sturm Graz,Georgia
18,MF,Sandro Altunashvili,26,4,0,Wolfsberger AC,Georgia
19,MF,Levan Shengelia,28,16,1,Panetolikos,Georgia
20,MF,Jaba Kankava,38,101,10,Slovan Bratislava,Georgia
21,MF,Giorgi Tsitaishvili,23,16,1,Dinamo Batumi,Georgia
-1,MF,Anzor Mekvabishvili,22,13,0,Universitatea Craiova,Georgia
7,FW,Khvicha Kvaratskhelia,23,29,15,Napoli,Georgia
8,FW,Budu Zivzivadze,30,26,7,Karlsruher SC,Georgia
11,FW,Giorgi Kvilitaia,30,37,6,APOEL,Georgia
22,FW,Georges Mikautadze,23,24,9,Metz,Georgia
1,GK,Heorhiy Bushchan,29,17,0,Dynamo Kyiv,Ukraine
23,GK,Andriy Lunin,25,11,0,Real Madrid,Ukraine
12,GK,Anatoliy Trubin,22,10,0,Benfica,Ukraine
22,DF,Mykola Matviyenko,27,63,0,Shakhtar Donetsk,Ukraine
16,DF,Vitaliy Mykolenko,24,39,1,Everton,Ukraine
13,DF,Illya Zabarnyi,21,34,1,Bournemouth,Ukraine
21,DF,Oleksandr Tymchyk,27,15,1,Dynamo Kyiv,Ukraine
2,DF,Yukhym Konoplya,24,12,1,Shakhtar Donetsk,Ukraine
3,DF,Bohdan Mykhaylichenko,27,7,0,Polissya Zhytomyr,Ukraine
19,DF,Valeriy Bondar,25,3,0,Shakhtar Donetsk,Ukraine
4,DF,Maksym Talovyerov,23,2,0,LASK,Ukraine
17,MF,Oleksandr Zinchenko (3rd captain),27,60,9,Arsenal,Ukraine
5,MF,Serhiy Sydorchuk,32,60,3,Westerlo,Ukraine
8,MF,Ruslan Malinovskyi,30,59,7,Genoa,Ukraine
15,MF,Viktor Tsyhankov,26,51,12,Girona,Ukraine
20,MF,Oleksandr Zubkov,27,30,2,Shakhtar Donetsk,Ukraine
6,MF,Mykola Shaparenko,25,28,1,Dynamo Kyiv,Ukraine
10,MF,Mykhailo Mudryk,23,18,2,Chelsea,Ukraine
7,MF,Heorhiy Sudakov,21,14,1,Shakhtar Donetsk,Ukraine
14,MF,Volodymyr Brazhko,22,2,0,Dynamo Kyiv,Ukraine
9,FW,Roman Yaremchuk,28,48,14,Valencia,Ukraine
11,FW,Artem Dovbyk,26,25,8,Girona,Ukraine
18,FW,Vladyslav Vanat,22,5,0,Dynamo Kyiv,Ukraine
1,GK,Wojciech Szczęsny,33,81,0,Juventus,Poland
12,GK,Łukasz Skorupski,32,9,0,Bologna,Poland
22,GK,Marcin Bułka,24,1,0,Nice,Poland
2,DF,Sebastian Walukiewicz,23,3,0,Empoli,Poland
3,DF,Paweł Dawidowicz,28,10,0,Hellas Verona,Poland
4,DF,Tymoteusz Puchacz,25,13,0,1. FC Kaiserslautern,Poland
5,DF,Jan Bednarek,27,56,1,Southampton,Poland
14,DF,Jakub Kiwior,24,21,1,Arsenal,Poland
17,DF,Bartosz Salamon,32,12,0,Lech Poznań,Poland
18,DF,Bartosz Bereszyński,31,54,0,Empoli,Poland
-1,DF,Paweł Bochniewicz,28,3,0,Heerenveen,Poland
6,MF,Jakub Piotrowski,26,5,2,Ludogorets Razgrad,Poland
8,MF,Bartosz Slisz,24,8,0,Atlanta United,Poland
10,MF,Piotr Zieliński,29,88,11,Napoli,Poland
11,MF,Kamil Grosicki,35,93,17,Pogoń Szczecin,Poland
13,MF,Taras Romanczuk,32,2,0,Jagiellonia Białystok,Poland
16,MF,Damian Szymański,28,17,2,AEK Athens,Poland
19,MF,Przemysław Frankowski,28,40,3,Lens,Poland
20,MF,Sebastian Szymański,24,32,3,Fenerbahçe,Poland
21,MF,Nicola Zalewski,22,16,0,Roma,Poland
-1,MF,Jakub Moder,24,21,2,Brighton & Hove Albion,Poland
-1,MF,Paweł Wszołek,31,14,2,Legia Warsaw,Poland
7,FW,Karol Świderski,27,30,10,Hellas Verona,Poland
9,FW,Robert Lewandowski (captain),35,148,82,Barcelona,Poland
15,FW,Adam Buksa,27,14,6,Antalyaspor,Poland
23,FW,Krzysztof Piątek,28,28,11,İstanbul Başakşehir,Poland
